cutoff,n_estimators,learning_rate,reg_alpha,reg_lambda,max_depth,max_leaves,min_child_weight,colsample_bytree,subsample,gamma,max_bin,iteration,MAP
21,725,0.47869852545995806,45.77644375343327,0.35371492038998403,5,5,5,0.6892591739416135,0.6505831977110891,4.748212388410246,575,86,0.08363587705524535
36,714,0.5116884667136774,45.326033887683394,0.4170270089656187,5,7,5,0.7675811440066275,0.7307179754866774,4.017353572250395,362,87,0.08390279167456713
33,737,0.3848734676976869,43.88949828753442,0.40292714471397434,9,6,6,0.7100481774003241,0.6087148788385981,4.231242842723973,381,88,0.08392619144259858
32,610,0.42285792743634393,46.63760832552345,0.31224594346025775,4,9,7,0.6641980867564288,0.7600968465976388,6.676121141032579,427,89,0.08376413951231183
25,595,0.46510645610044515,44.980049617672634,0.536257643612495,11,6,5,0.6140870780021567,0.6222266784905761,7.867752422482657,449,90,0.08371579491567484
31,752,0.45649238289631844,47.49914715918884,0.32456579792199636,6,6,5,0.7416892355286907,0.6541955386752226,4.730373017768982,320,91,0.08377882064693057
37,761,0.43711807456192653,41.610094371760304,0.35829516185644117,5,7,5,0.7209382062539748,0.6675363348830681,4.415993578349061,326,92,0.08408971174887936
38,776,0.44413898848764605,43.22743461751131,0.5473074467889805,5,7,5,0.72329053969756,0.6984724712594673,4.4038111455734406,292,93,0.08394189784102654
36,786,0.4723068695901979,41.638826444795676,0.38079175975730717,5,8,5,0.7596655764429929,0.668261459422101,4.225304527268084,337,94,0.08357375978089472
37,719,0.43533991707345504,42.37453075957508,0.3618993448525465,5,8,5,0.6350838693263584,0.7140741407876993,4.465790362018244,309,95,0.08374648402136783
35,709,0.4154762034530759,42.96164826316801,0.39523605929299516,10,7,5,0.7928661725882886,0.8421965952980026,4.097198616432884,348,96,0.08370092680592629
