,topK,alpha,result
216,22.0,0.3502775715800654,0.05335883270058847
217,13.0,0.35256503174508064,0.0541799484702594
218,29.0,0.35222894838045304,0.05258364323464523
219,9.0,0.35300266611837056,0.05360947012899193
220,2.0,0.35002849006920544,0.03689510900315611
221,18.0,0.35107016816881215,0.053878855582862616
222,14.0,0.3524615065102829,0.05411303299009757
223,9.0,0.35400675984110896,0.053616669924086695
224,22.0,0.35503593764388225,0.05339194573402473
225,16.0,0.3535529938037457,0.053942991098757886
226,9.0,0.35642679733724325,0.053599035222993086
227,26.0,0.35132398415324556,0.05289202850824167
228,2.0,0.3526927970090294,0.036914989317439334
229,38.0,0.35530451194449725,0.05160593471055169
230,17.0,0.35385606333845504,0.05392224176675254
231,11.0,0.35162605069561814,0.05410179823081612
232,15.0,0.3520968286577867,0.054049437403056476
233,20.0,0.35116708429219895,0.053725532521564145
234,8.0,0.3532354213644862,0.0532718416839335
235,26.0,0.3520970072855211,0.05289117622385178
236,14.0,0.35428120071653874,0.05410367794180738
237,9.0,0.37018708533307926,0.053701430945328595
238,31.0,0.3618816107568861,0.052337515997064016
239,20.0,0.35585848709459594,0.053715811571075155
240,15.0,0.3508698059347623,0.054035675910603854
241,10.0,0.35265204829155844,0.053877293805184516
242,2.0,0.352416229542934,0.03690491473586187
243,16.0,0.3516161501772891,0.053949817182765446
244,22.0,0.35288239887802664,0.0533737655262994
245,13.0,0.3533680417790152,0.05417757568374459
246,8.0,0.35484960073115956,0.053287229656282034
247,24.0,0.3534707020791868,0.053162192619840266
248,2.0,0.35007310948326686,0.036894781029843775
249,14.0,0.3543388160220038,0.05410751879933933
250,30.0,0.3571022617555279,0.05249259494269456
251,339.0,0.3725711886310037,0.03997931760132187
252,17.0,0.3554165997037241,0.05391631482046517
253,8.0,0.35368616414991616,0.05327402259490502
254,22.0,0.35827112674167527,0.0533991923824499
255,12.0,0.3515818357359554,0.05418104840796663
256,8.0,0.35476622497725274,0.05328855270508622
257,27.0,0.3513532105281796,0.05276248797431024
258,15.0,0.35609846502475384,0.05404833300312709
259,35.0,0.3632690458832952,0.05193232504966282
260,8.0,0.3500038202042881,0.05329541783353575
261,21.0,0.35298984035527387,0.05349631264290086
262,2.0,0.3540388854004182,0.036916680499553316
263,92.0,0.3611452423477363,0.04793345800781232
264,13.0,0.35650966194302725,0.054202859748792964
265,2.0,0.35705651566532554,0.03693003927647614
266,24.0,0.3563543698358796,0.05315894300671484
267,13.0,0.3551206747823838,0.05418661502983268
268,10.0,0.35567701313635913,0.05387743101850909
269,31.0,0.3567972592072095,0.05228592936480998
270,18.0,0.3552306906139366,0.05391083298081603
271,23.0,0.35777124075503786,0.053342774279394094
272,9.0,0.375156833727682,0.05367729924909521
273,133.0,0.3545905947719596,0.04585967159831236
274,17.0,0.3560429236585766,0.05391570572717082
275,42.0,0.35541171923994175,0.05122867169469662
276,8.0,0.3536511732425959,0.053275115839279505
277,2.0,0.35074958423731395,0.03691033187329297
278,29.0,0.3574605164205474,0.05257596932846958
279,21.0,0.3544551844038213,0.053495948971813014
280,13.0,0.35935018901375043,0.05420051038894332
281,11.0,0.356711829981273,0.054131808904451
282,10.0,0.3591399902918741,0.0539008811103416
283,35.0,0.35780729500987146,0.05194225684013831
284,22.0,0.35853086131041056,0.05340056786236187
285,2.0,0.3560881503697966,0.036908181082319504
286,15.0,0.3587951082799399,0.054042730683485675
287,25.0,0.36003227830201584,0.05302663812629341
288,10.0,0.35731360118711036,0.05388724567565871
289,15.0,0.3564529719139636,0.05404416751894924
290,30.0,0.35674939908533504,0.052499214648937566
291,2.0,0.3594152065895845,0.036961000403383515
292,19.0,0.36082287670610524,0.053784194006698614
293,10.0,0.35564310986542097,0.053880267876105316
294,19.0,0.3616797381937312,0.05379382013497142
295,27.0,0.3549132134981945,0.05274599894869887
296,9.0,0.3579602261646569,0.0536219520793042
297,35.0,0.35649162064736145,0.05193420476065364
298,16.0,0.3549334113308688,0.05394699259627957
299,8.0,0.3511059201165217,0.05328089553224295
