topK,alpha,iteration,RECALL,MAP
12,0.2993885828735576,204,0.027674518388710802,0.027674518388710802
13,0.29007454036520136,205,0.027726057241217225,0.027726057241217225
14,0.3096359772917327,206,0.027790433957503052,0.027790433957503052
13,0.31051472194615254,207,0.02771240237053061,0.02771240237053061
15,0.30217679492939525,208,0.027763019090765388,0.027763019090765388
16,0.3167414576465027,209,0.02775853412277837,0.02775853412277837
17,0.3002055751707984,210,0.027712451505211615,0.027712451505211615
14,0.2897377512212313,211,0.02779486293480689,0.02779486293480689
14,0.2925342021566152,212,0.02779191371127196,0.02779191371127196
14,0.28897469912355733,213,0.02779603531115204,0.02779603531115204
12,0.3122301206173356,214,0.027633027007162404,0.027633027007162404
13,0.29140376592855943,215,0.027721019222400698,0.027721019222400698
14,0.43433631993278293,216,0.027655819785872546,0.027655819785872546
14,0.2691457064332933,217,0.027724483788753956,0.027724483788753956
13,0.30532814910688405,218,0.02772009366212823,0.02772009366212823
15,0.47669699777183305,219,0.027673671672461524,0.027673671672461524
12,0.2922196201724051,220,0.027671418333131508,0.027671418333131508
14,0.2823438591928357,221,0.027768733568447706,0.027768733568447706
14,0.276448500676063,222,0.027755143829780244,0.027755143829780244
16,0.2854490307930111,223,0.02768471097837816,0.02768471097837816
28,0.3018010570366946,224,0.027300496054598646,0.027300496054598646
15,0.29000425376808947,225,0.02775029892168729,0.02775029892168729
13,0.2693841718889088,226,0.027729320698177913,0.027729320698177913
13,0.32084741032462366,227,0.027711429960911003,0.027711429960911003
15,0.30505916118708015,228,0.027749884133565127,0.027749884133565127
11,0.29672717935215176,229,0.027614561508392817,0.027614561508392817
14,0.28184854851590313,230,0.027773391079152214,0.027773391079152214
14,0.2802669316146663,231,0.027761678742370777,0.027761678742370777
14,0.28769712093060695,232,0.0277879463714373,0.0277879463714373
14,0.29381684614769893,233,0.027792910116898658,0.027792910116898658
15,0.2935366506424144,234,0.027763009949429398,0.027763009949429398
13,0.3066856542215636,235,0.02771641198904435,0.02771641198904435
16,0.29826426980336057,236,0.02771777404811195,0.02771777404811195
14,0.31890999508081697,237,0.02778083326934325,0.02778083326934325
12,0.6948395359232669,238,0.02704458320992455,0.02704458320992455
16,0.3338954759789277,239,0.027767612612117708,0.027767612612117708
14,0.31961992720902127,240,0.027780394485214077,0.027780394485214077
14,0.31793976351807274,241,0.0277663990997605,0.0277663990997605
15,0.3213873934530341,242,0.027728408849909465,0.027728408849909465
13,0.3079459942191727,243,0.027720034243444068,0.027720034243444068
15,0.33020281128153567,244,0.027744410758620455,0.027744410758620455
13,0.31109071857447684,245,0.027717117014585266,0.027717117014585266
14,0.2953420132677536,246,0.02780302843321085,0.02780302843321085
13,0.30067987479471275,247,0.027720491310245256,0.027720491310245256
15,0.31752628739935806,248,0.027719300651228008,0.027719300651228008
14,0.2952964702783613,249,0.027801197880671934,0.027801197880671934
12,0.29510529047214,250,0.027686182733478133,0.027686182733478133
16,0.308377812255947,251,0.027725192242295887,0.027725192242295887
15,0.32594093778388444,252,0.02773151347615681,0.02773151347615681
13,0.34300163875490114,253,0.027672514150787503,0.027672514150787503
17,0.29347187881020553,254,0.027708871529491017,0.027708871529491017
14,0.30781551690885306,255,0.027798298934485155,0.027798298934485155
14,0.3134438154049762,256,0.027756476179505878,0.027756476179505878
12,0.3044247377215713,257,0.02765941804426527,0.02765941804426527
14,0.32267554301837115,258,0.02777798574317158,0.02777798574317158
16,0.3138774523697788,259,0.02774801473034815,0.02774801473034815
15,0.2998901207370625,260,0.027746693807292562,0.027746693807292562
11,0.2937539128994586,261,0.02762510946749814,0.02762510946749814
13,0.32629759754800397,262,0.027730020010383893,0.027730020010383893
14,0.3388984760294821,263,0.0277339450715394,0.0277339450715394
12,0.30359859972109193,264,0.02766429151903335,0.02766429151903335
15,0.5785247467217863,265,0.027505521366958066,0.027505521366958066
13,0.31197743799033545,266,0.02771663937977797,0.02771663937977797
14,0.2893806515937151,267,0.027793660849119665,0.027793660849119665
16,0.29327250198526106,268,0.027715512710112866,0.027715512710112866
5,0.30214339510492727,269,0.025479014006354442,0.025479014006354442
14,0.3174542577629756,270,0.027764570832555593,0.027764570832555593
15,0.6261132110002279,271,0.027504787774742006,0.027504787774742006
13,0.29030890768770523,272,0.027720289058185736,0.027720289058185736
12,0.27327040832511507,273,0.027662783198589315,0.027662783198589315
14,0.3098176400514497,274,0.02779497034550523,0.02779497034550523
17,0.3078591736831565,275,0.027733877654186136,0.027733877654186136
13,0.4110599491256186,276,0.027676686028015686,0.027676686028015686
15,0.5278326962913482,277,0.02755268494750968,0.02755268494750968
16,0.29969226085415274,278,0.02772897675541002,0.02772897675541002
11,0.28986105096390935,279,0.027632584795032236,0.027632584795032236
14,0.2749506572348377,280,0.027754524504264577,0.027754524504264577
31,0.3069523793108567,281,0.027149253792739646,0.027149253792739646
13,0.28942693975514006,282,0.027729175579468614,0.027729175579468614
15,0.2965427709426776,283,0.02775729204374607,0.02775729204374607
14,0.6639375424259031,284,0.027352615381942648,0.027352615381942648
13,0.3130138718382921,285,0.027725098543601712,0.027725098543601712
12,0.27622004619554863,286,0.027659556306972657,0.027659556306972657
17,0.2983962390814451,287,0.027697214040725702,0.027697214040725702
16,0.2869821691742978,288,0.02769172124044199,0.02769172124044199
15,0.26830487150706445,289,0.027738268923478995,0.027738268923478995
14,0.32766610669224194,290,0.027756489891509917,0.027756489891509917
12,0.30685428871711107,291,0.027614892881823724,0.027614892881823724
14,0.28285077586728347,292,0.027763375602870323,0.027763375602870323
15,0.3194601590283849,293,0.027727153058873088,0.027727153058873088
14,0.30030016803062626,294,0.027808226425407773,0.027808226425407773
11,0.3017742819179075,295,0.027624330168602072,0.027624330168602072
13,0.3346819100140429,296,0.027698763497181967,0.027698763497181967
38,0.31462227817665916,297,0.02689011405644884,0.02689011405644884
15,0.2978324041299271,298,0.027750966239217065,0.027750966239217065
10,0.3108702935429274,299,0.027480684356979413,0.027480684356979413
