topK,shrink,feature_weighting,normalize,tversky_alpha,tversky_beta,iteration,RECALL,MAP
4,19.17131205127545,TF-IDF,True,0.16359369844395033,2.2498921293697607,101,0.04277091851064254,0.04277091851064254
4,19.700335717064167,TF-IDF,True,0.20495740834082787,2.3414070784804695,102,0.0427841174717668,0.0427841174717668
3,20.236356537653748,TF-IDF,True,0.21114723907987892,2.329230554831314,103,0.042573503257417857,0.042573503257417857
4,19.761588568987623,TF-IDF,True,0.2565981255258123,2.261852000931241,104,0.042814888374047816,0.042814888374047816
5,19.36786308660025,TF-IDF,True,0.2534831038494591,2.2719594521424837,105,0.04263328572645627,0.04263328572645627
5,20.991306957686795,TF-IDF,True,0.2596366168331307,2.3975728329564867,106,0.04262570063480176,0.04262570063480176
3,22.29442832696615,TF-IDF,True,0.22964343820134112,2.3445550913948785,107,0.04258521675779909,0.04258521675779909
4,19.66200944058001,TF-IDF,True,0.202950448587863,2.1444188761436336,108,0.04281909342263078,0.04281909342263078
6,19.14279235604327,TF-IDF,True,0.18829945895103906,2.1650909449428726,109,0.04246856526131559,0.04246856526131559
7,20.405585976895587,TF-IDF,True,0.19583941472162572,2.2324087847130074,110,0.042126234183448186,0.042126234183448186
4,19.892167045675635,TF-IDF,True,0.20717747931934263,2.2924455992979027,111,0.042814209885908755,0.042814209885908755
2,19.861850766085944,TF-IDF,True,0.20187220738957481,2.122474995922157,112,0.041520037715824264,0.041520037715824264
4,19.54249393515367,TF-IDF,True,0.22226388126913416,2.3006540223496432,113,0.04281201437943875,0.04281201437943875
3,21.37195366352461,TF-IDF,True,0.24089271643865198,2.297203803586512,114,0.042593329311993625,0.042593329311993625
6,18.318470630879357,TF-IDF,True,0.20517279122315502,2.0818997089727533,115,0.04244431325504202,0.04244431325504202
4,19.601926369620962,TF-IDF,True,0.22607038441177355,2.167125540439638,116,0.04282217028744754,0.04282217028744754
5,24.346272255088497,TF-IDF,True,0.22656148537695686,2.1817968216699817,117,0.0426409576014775,0.0426409576014775
3,19.627646117160726,TF-IDF,True,0.2467220626703403,2.1436899335748625,118,0.04263694302547869,0.04263694302547869
2,20.475029108689316,TF-IDF,True,0.2688701429044487,2.215860525776263,119,0.04150443136156871,0.04150443136156871
4,21.334050199228887,BM25,True,0.2805126374875092,2.2760373767896804,120,0.03938887716749776,0.03938887716749776
4,18.839354621569974,TF-IDF,True,0.22017470057005362,2.0264509068678374,121,0.04279508936883322,0.04279508936883322
4,29.583825938859505,TF-IDF,True,0.21883557814583315,2.0217448237187905,122,0.04261331991684876,0.04261331991684876
5,18.69011358710273,TF-IDF,True,0.2320005964988816,2.3004503504997267,123,0.04267485045084363,0.04267485045084363
3,18.030488988420707,TF-IDF,True,0.21239505569383094,1.9480354927711239,124,0.042655348988600454,0.042655348988600454
4,19.825915142311644,TF-IDF,True,0.19365035778213832,2.1713705947507864,125,0.04281928727638479,0.04281928727638479
5,20.005391531233204,TF-IDF,True,0.1795112848127317,2.1577594884949636,126,0.04267591213826391,0.04267591213826391
6,20.556546244028347,TF-IDF,True,0.19707351273773355,2.042327164522744,127,0.04245731948946879,0.04245731948946879
3,22.365691284082953,TF-IDF,True,0.1875892780643295,2.093641395268911,128,0.04255891238125757,0.04255891238125757
6,18.800219500823715,TF-IDF,True,0.22069722137470127,2.207385608656148,129,0.042458786917304536,0.042458786917304536
5,19.922384717734797,TF-IDF,True,0.20362351865094985,1.9846993522820917,130,0.0426525843184919,0.0426525843184919
4,19.66447923586813,TF-IDF,True,0.2256907472439069,2.2624428221435617,131,0.04279623783962009,0.04279623783962009
4,20.74458916345086,TF-IDF,True,0.24003422558211335,2.3697680629699747,132,0.042805261055635827,0.042805261055635827
4,20.891054666225536,TF-IDF,True,0.23881556123418235,2.1227940393862936,133,0.04276872187711597,0.04276872187711597
3,17.76204677111395,TF-IDF,True,0.25607626267019723,2.1905840401985,134,0.04261451121579058,0.04261451121579058
5,21.793427849675798,TF-IDF,True,0.22579740802173826,2.239971626371602,135,0.04264983317306426,0.04264983317306426
3,18.52864278908622,TF-IDF,True,0.24866965697851817,2.3778763967858376,136,0.04258559319473984,0.04258559319473984
2,22.98174176715758,TF-IDF,True,0.24077454954546967,2.3080847523749437,137,0.04154057494318382,0.04154057494318382
15,20.356673998443007,TF-IDF,True,0.22879652068056963,2.1715345288590946,138,0.04065892468871655,0.04065892468871655
4,19.051342293622525,TF-IDF,True,0.21558871754717698,2.019782594346697,139,0.04280498718085545,0.04280498718085545
4,18.967233217856442,TF-IDF,True,0.21740102095513356,2.0572779047124636,140,0.04284370045176791,0.04284370045176791
4,19.08297176607336,TF-IDF,True,0.21505730534022346,2.010282139327837,141,0.042795546953857184,0.042795546953857184
5,19.3509444958493,TF-IDF,True,0.2120023570088903,2.107000494009489,142,0.042641246127995115,0.042641246127995115
4,17.224065176886942,TF-IDF,True,0.2167127556373355,2.0647434846852946,143,0.04280013407466468,0.04280013407466468
3,16.271869192015266,TF-IDF,True,0.1939183677355417,2.0800849930559684,144,0.042576578995177715,0.042576578995177715
5,17.061322464297284,TF-IDF,True,0.23191587549687404,2.2378745807761624,145,0.04266690920926887,0.04266690920926887
4,17.660368100219888,TF-IDF,True,0.20502829201799638,0.5564843643625961,146,0.041321894383965205,0.041321894383965205
6,18.194574466235817,TF-IDF,True,0.1738133545370324,2.148145908076821,147,0.042465001508000276,0.042465001508000276
2,21.288951785630523,BM25,True,0.43665785403314605,2.2618196642044333,148,0.037612297676413636,0.037612297676413636
3,19.64547419901182,TF-IDF,True,0.2234332799892582,2.061312557603198,149,0.042621065050556156,0.042621065050556156
4,16.361509075244733,TF-IDF,True,0.1901682040484886,2.188429480503505,150,0.04271531854905267,0.04271531854905267
4,19.045194030207693,TF-IDF,True,0.21339174761083624,2.0061807469685218,151,0.042800211841577535,0.042800211841577535
4,20.272111172326486,TF-IDF,True,0.21445044871021965,1.9396254747824289,152,0.04275557137943017,0.04275557137943017
5,15.574401094307317,TF-IDF,True,0.20131847860055288,2.129123452257003,153,0.04278919373518599,0.04278919373518599
3,20.76802005813972,TF-IDF,True,0.23424681262136332,1.9864824658085498,154,0.0426243752161118,0.0426243752161118
4,17.11175960423409,TF-IDF,True,0.22195250523791552,2.3622729636598367,155,0.04278864485856859,0.04278864485856859
4,18.533861355046046,TF-IDF,True,0.2095288270672395,2.045046149413824,156,0.04283574005022921,0.04283574005022921
5,18.468147839353197,TF-IDF,True,0.1968412485814316,2.0522274829903413,157,0.042680306532374104,0.042680306532374104
2,17.563923406766172,TF-IDF,True,0.1840073161587424,1.8838162806662582,158,0.04150809091470429,0.04150809091470429
6,18.97352808378261,TF-IDF,True,0.2078277394966077,2.0945503155485263,159,0.042435994449469605,0.042435994449469605
21,19.38150365916862,TF-IDF,True,0.2088931482804165,0.41055042211191073,160,0.03697349771229923,0.03697349771229923
3,19.720783388495267,TF-IDF,True,0.22775853147398065,2.319052775878469,161,0.04257731045498235,0.04257731045498235
4,18.17943609521671,TF-IDF,True,0.2183438536611531,2.21970744197942,162,0.04280754447252914,0.04280754447252914
5,18.177931933182137,TF-IDF,True,0.21708564618199194,2.2182798027471073,163,0.04267981288153531,0.04267981288153531
4,16.81594815972169,TF-IDF,True,0.2000455966367315,2.0126879046658157,164,0.04278747384664753,0.04278747384664753
3,18.613976165555247,TF-IDF,True,0.19271658371446848,2.1547499177796223,165,0.04254915094309697,0.04254915094309697
4,17.75748374193596,TF-IDF,True,0.23424270106817544,1.9547955430069817,166,0.04276030839878005,0.04276030839878005
5,20.13983550011139,TF-IDF,True,0.38917040682658127,2.0571466779743677,167,0.042520276877257755,0.042520276877257755
4,19.15960817896767,TF-IDF,True,0.21283437341387632,2.1058929652204306,168,0.04282689941740033,0.04282689941740033
3,19.08574365600055,TF-IDF,True,0.24479450133744216,2.1970221635704226,169,0.04262606918234601,0.04262606918234601
25,18.089097477273018,TF-IDF,True,0.2192063506438954,2.133782804788511,170,0.03945504328573846,0.03945504328573846
4,20.641787172027122,TF-IDF,True,0.20982513924896398,2.0877357549275555,171,0.04283462200997325,0.04283462200997325
4,20.84669447516884,TF-IDF,True,0.2076794526668131,2.0996845716001515,172,0.04281082195344015,0.04281082195344015
5,21.028783087488428,TF-IDF,True,0.20654235726488163,2.1041123162569995,173,0.04266643021016733,0.04266643021016733
4,20.4658223906859,TF-IDF,True,0.18390584700701487,2.1612132523694005,174,0.042816334387806,0.042816334387806
3,20.564453453627394,TF-IDF,True,0.1798659152410936,2.171731453231135,175,0.04256221353035938,0.04256221353035938
6,21.425171303379955,BM25,True,0.16890474894021246,2.29305384324496,176,0.03938723391881532,0.03938723391881532
5,22.18049823681081,TF-IDF,True,0.19392684727377463,2.2283694294155456,177,0.0427242121535468,0.0427242121535468
2,20.344267823313103,TF-IDF,True,0.186507869954039,2.1275211423629403,178,0.04147558209097729,0.04147558209097729
4,20.64332399494991,TF-IDF,True,0.2004216831722402,2.2004131627107775,179,0.04282125286328598,0.04282125286328598
3,20.93448829000697,TF-IDF,True,0.1997826438809285,2.20087269721499,180,0.04257722817984259,0.04257722817984259
4,19.830620713525338,TF-IDF,True,0.2037230083709635,2.2576290653836533,181,0.04281180136572074,0.04281180136572074
4,19.772466331505886,TF-IDF,True,0.20474293652247852,2.2714662483372323,182,0.04281183968564884,0.04281183968564884
5,20.029638647505877,TF-IDF,True,0.18653877445034653,2.278972836075173,183,0.042688958946732254,0.042688958946732254
4,21.592399804913207,TF-IDF,True,0.20326755698773624,2.3307863079880753,184,0.04282280594743167,0.04282280594743167
