,topK,shrink,feature_weighting,asymmetric_alpha,result
232,5,21,none,1.0987696018861595,0.0350627280451833
233,8,23,none,0.12314804990659756,0.05343537016508299
234,5,20,none,0.08682594812311366,0.05470894227198881
235,7,20,none,0.054506275399169635,0.05414396479089293
236,2,21,none,0.15666687326306336,0.052158600516603384
237,4,23,none,0.0527464725813484,0.05439475536240712
238,7,20,BM25,0.08560508411885127,0.045028612753391845
239,5,22,none,0.08883533463529418,0.05463224255438997
240,9,24,none,0.1554892377320722,0.05294388928160659
241,5,22,none,0.09086382147319577,0.05464118585280697
242,5,21,none,0.09324868122045449,0.05466026176552314
243,6,21,none,0.8679964788315895,0.042708121353953375
244,2,19,none,0.09506485589563818,0.0526647068615255
245,4,20,none,0.08197917060389633,0.054688371346812543
246,4,20,none,0.09269317336263641,0.054624003250646244
247,2,19,none,0.13608614343447234,0.05250836091296463
248,7,20,none,0.06027405096958841,0.05411724534805508
249,4,20,none,0.16748859011303505,0.054457359567007035
