topK,alpha,beta,normalize_similarity,implicit,iteration,RECALL,MAP
26,0.2878226219837801,0.24095717964019178,True,True,239,0.042043629943100014,0.042043629943100014
13,0.3027404209551637,0.2509899827737031,True,True,240,0.04275609320668642,0.04275609320668642
11,0.29399438345690626,0.24387309317965583,True,True,241,0.042888691428551784,0.042888691428551784
11,0.2955720432796927,0.23792869367182087,True,True,242,0.042908602012380614,0.042908602012380614
10,0.28946367813185336,0.23597765266355716,True,True,243,0.042763231983884056,0.042763231983884056
12,0.30159499085880015,0.23845713846987257,True,True,244,0.04286497364715815,0.04286497364715815
11,0.3151199594722096,0.24163161478874484,True,True,245,0.04288008184234837,0.04288008184234837
11,0.3071402906969453,0.23339230498438454,True,True,246,0.042901624404292404,0.042901624404292404
10,0.29666368530252585,0.22416879443260496,True,True,247,0.04274430644761926,0.04274430644761926
12,0.2888301643247123,0.2485100815115235,True,True,248,0.04292797499015894,0.04292797499015894
12,0.28833487515038353,0.24896940249508348,True,True,249,0.04292651770583364,0.04292651770583364
13,0.2958306296398269,0.2547704613197607,True,False,250,0.042742231536217166,0.042742231536217166
12,0.3023275858436264,0.2506021470366135,True,True,251,0.04288232243108643,0.04288232243108643
12,0.28722485506052325,0.24866849073228617,True,True,252,0.04291367714874302,0.04291367714874302
11,0.28679549492068945,0.2524964398268146,True,True,253,0.0428845810527325,0.0428845810527325
10,0.28471782047049693,0.2442059532432578,True,True,254,0.04273213310810043,0.04273213310810043
9,0.29333077264330015,0.2590230635816398,True,True,255,0.0426275321019545,0.0426275321019545
12,0.3101735810627676,0.24874488442619458,True,True,256,0.042847523428125894,0.042847523428125894
11,0.2897002983687351,0.2552163027188427,True,True,257,0.04283553605296465,0.04283553605296465
13,0.3055650633190142,0.24391606083649206,True,True,258,0.042751154444185736,0.042751154444185736
10,0.29448476363701476,0.24917737340450397,True,True,259,0.042723645244021786,0.042723645244021786
11,0.2851029400574526,0.246624394096912,True,True,260,0.0429233991399189,0.0429233991399189
12,0.282830003121858,0.2473679663464161,True,True,261,0.042889463462397505,0.042889463462397505
14,0.31767538879805296,0.2530637818843354,False,True,262,0.0351432274936908,0.0351432274936908
12,0.28594962392981166,0.24324865216247393,True,True,263,0.042896657465373834,0.042896657465373834
10,0.276467952000496,0.24922051518967078,True,True,264,0.042740891465789556,0.042740891465789556
3,0.2998548958744032,0.24491045487653698,True,True,265,0.03539690090962376,0.03539690090962376
11,0.3069882714075949,0.2475796460204023,True,True,266,0.04291132498139059,0.04291132498139059
